,Video ID,Published Date,Title,View Count,Like Count,Comment Count,Channel Title,Subscriber Count
0,obCk8a3MKxw,2024-06-04T23:47:32Z,BATTLE BEARS -1 Redux Part 3 Cutscene,1490,49,2,BattleBears,41200
1,JXqHhPknObU,2024-05-11T18:25:52Z,BATTLE BEARS -1 Redux Part 2 Cutscene,330,15,3,BattleBears,41200
2,x7Rcn1jsZQ8,2024-06-06T00:24:34Z,BATTLE BEARS -1 Redux Part 4 Cutscene,773,16,8,BattleBears,41200
3,7J5YX1VKeM0,2024-05-28T09:21:26Z,Battle Bears -1 Cutscene Minnie Scart Destroyed Wtf Boom Part 150 HdjdjsyeykehdbPoney,8,1,0,Inseochoi,35
4,IA4pfQ35dds,2024-05-19T01:03:39Z,battle Bears,16,1,1,สุภาพร เทียนไชยถกพหขยบโอ๊ยกูเป็นบ้า,1
5,NO3qKlmRpl8,2024-06-04T17:34:00Z,💣Lvl 4 Transformers vs lvl 10 Bears 🐻 battle war in Mob Control! 😱 💀 Android & IOS game #gameplay,2454,33,0,Random Games Guy,355
