Video ID,Published Date,Title,View Count,Like Count,Comment Count,Channel Title,Subscriber Count
EGFaUt66X0I,2024-12-30T03:21:56Z,how i messed up my hair bigtime and fixed it within a day,692,119,21,morbidly🐾🐛,0
___B4dI5Mms,2024-12-31T05:03:16Z,We keep working #boxing #chaosinlagos #crawfordvsmadrimov #daznboxing #bigtime,4,1,0,UnBoxx Sports,0
_A2xf2WP1UA,2024-12-30T13:47:45Z,Dec31-2024 Pang Bigtime New year,16222,1214,20,Master Chito Vlog,0
NfDbn8mWwn8,2024-12-31T15:50:06Z,TRICK TO GET GARETH BALE 107 BIGTIME 99% WORKING|EFOOTBALL 2025 MOBILE,2042,0,3,August One,0
gkflirhFrVk,2024-12-31T15:42:13Z,finally bigtime bale is here🔥 and some newyear gift showtime cards,132,3,2,Lynx Gaming ,0
YT_WaLHFjvo,2024-12-31T01:12:03Z,50-55 and punt #football #shorts #shortsviral #bigtime #viral,171,5,2,Peyton hilbert,0
7H7Dc_mcwUY,2024-12-30T10:04:26Z,Bigtime Nothing,2,0,0,Curtis Erdek - Topic,0
X9-sJO4Y4BY,2025-01-01T06:14:07Z,107 Bigtime G. Bale BREAKS eFootball! Is This the Most Pay-to-Win Card Ever? 🔥⚽,19,6,3,Red Notice eFootball,0
DHMDErwz8Tc,2025-01-01T04:51:20Z,TOO MUCH SPEED 🔥 Review 107 BALE Bigtime Card,9411,339,34,Pes Kingdoms ,0
-Y_wIaNGARk,2025-01-01T08:29:05Z,Happy New Year - BIGTIME: FELIZ ANO NOVO!,6,0,0,soujeanyt,0
vTIVsp2K9II,2025-01-01T15:56:57Z,#280 BIGTIME　happy new year  (*'ω'*),1,0,0,yoshi 3,0
SaXsYH4PIXA,2024-12-31T09:58:22Z,#279 BIGTIME　今年一年お疲れさまでした～(*'ω'*),0,0,0,yoshi 3,0
_4_0ZkiTwVc,2025-01-04T12:31:01Z,"একদম ফ্রী! 🥶 eFootball 2025 850M Download Campaign Rewards!! Free Coins, BigTime Card - Rokutoo!",8760,0,0,Rokutoo!,0
P8CRtOE9PgA,2024-12-31T11:00:26Z,2 TOKENS GAMES QUE VAI DISPARAR EM BREVE 1500% CRYPTOMOEDAS BIGTIME E KARRAT CONFIRA URGENTE,64,19,30,Cícero Rodrigues,0
LbxkhjWMVkU,2025-01-01T02:47:39Z,NEW YEAR'S GIFT FREE SHOWTIME NUNEZ!! TRICK GET BIGTIME G.BALE 107 EFOOTBALL MOBILE 2025,5986,262,92,AhmadPES,0
