Video ID,Published Date,Title,View Count,Like Count,Comment Count,Channel Title,Subscriber Count
Ip8YE1glehM,2024-12-30T22:42:38Z,Axie Infinity : Origin ss11 [EP.07] - Mystic Era 2 day left and happy new year,110,6,0,TRICKZ,0
rnS56aY75kw,2024-12-31T01:00:45Z,PACC 147: Unexpected Demoralizer Team Year Ender Video!  P.O.TV Axie Infinity Classic V2,88,9,8,Patatas Origins TV,0
hLmSmB8P5qQ,2024-12-30T04:16:38Z,Pemula Game NFT - Kejar Target Leveling PIXELS GAME NFT | AXIE INFINITY ORIGINS | PUZZLE CHAMPIONS,71,4,3,E-earth,0
ohdlMcAtzRY,2024-12-29T23:00:29Z,¿Cuanto se Gana en Axie Infinity Homeland? y En cuanto tiempo recuperas tu inversión Guía - Vol 5,480,11,6,MinerCash,0
006Lbyt8nOs,2025-01-02T21:00:00Z,🤔 ¿VALE LA PENA JUGAR ORIGINS? | Axie Infinity,1309,79,22,Nicoletaa NFT,0
JzP5YDuarbA,2025-01-04T21:00:09Z,🥇 LA MEJOR MANERA DE JUGAR CLASSIC | Axie Infinity Classic,602,43,13,Nicoletaa NFT,0
43A0MsTs5_8,2025-01-03T17:15:33Z,⚠️ COMENZÓ la TEMPORADA 7 | Axie Infinity Classic,1059,61,12,Nicoletaa NFT,0
gNeL0_m-n5Q,2025-01-05T09:00:41Z,AXIE INFINITY 2025 REVIEW and SEVEN IMPORTANT DETAILS THAT YOU NEED TO KNOW EARN TOKEN REWARDS TODAY,183,7,2,Aftermath TV,0
ZbRzEvy33ag,2025-01-04T12:45:52Z,💥GANA AXS con AXIE INFINITY HOMELAND sin LAND💥 2025,97,10,31,CriptoGary,0
0ArhuIPhXeo,2024-12-30T14:26:56Z,Exploring the game Axie Infinity,49,0,0,Bored Dad,0
rFX2qx_RKug,2025-01-02T18:41:22Z,Detalles Kanstar NFT Noticias Zentry y Era Final Axie Infinity,187,0,11,Aulox Crypto Gaming,0
YVwOiTub5MA,2025-01-05T13:00:42Z,AXS PRICE WILL X5000 HERE'S WHEN - AXIE INFINITY PRICE PREDICTIONS FOR 2025,4,0,0,Crypto Vault,0
o2ZSfqGAZi0,2025-01-01T18:03:57Z,La VERDAD de Axie Infinity Después de 3 Años 😱,117,13,4,JuanMa,0
To-84if--t8,2025-01-01T20:00:09Z,HEALING-ZOO vs FEATHER-AOE | SEASON 11 | AXIE INFINITY ORIGINS,253,6,1,AxieMeta,0
w3QHVd6xnJk,2025-01-02T04:11:04Z,Axie Infinity: A Beginner’s Guide to Earning Crypto,5,0,2,Crypto Chronicles,0
PXqQm3-68x4,2025-01-03T13:20:41Z,[S11] SANDAL LAPADA SECA TOP 62 ERA MISTICA | ORIGINS LEADERBOARD | AXIE INFINITY | RFCode: BLACK,122,6,0,BlackTavernX,0
1pizh-g4yUI,2025-01-03T00:00:02Z,PERCH-CONTROL vs BUBBLE-AOE | SEASON 11 | AXIE INFINITY ORIGINS,228,3,1,AxieMeta,0
OPFo9pbeDdA,2025-01-03T16:00:31Z,HEALING-ZOO vs FEAR-RICE | SEASON 11 | AXIE INFINITY ORIGINS,178,3,1,AxieMeta,0
DGp1XN3OSB4,2025-01-01T18:00:13Z,BUBBLE-AOE vs POISON-SLEEP | SEASON 11 | AXIE INFINITY ORIGINS,134,2,0,AxieMeta,0
GHjl8iwjoYI,2025-01-02T16:00:14Z,TINY FAN-CONTROL vs POISON-GILA | SEASON 11 | AXIE INFINITY ORIGINS,248,5,1,AxieMeta,0
NoeEgDio_L8,2025-01-03T18:00:26Z,JINX vs FEATHER-FAN | SEASON 11 | AXIE INFINITY ORIGINS,187,3,1,AxieMeta,0
klKt6aQv7OM,2025-01-02T14:15:47Z,FEAR-RICE vs FEATHER-AOE | SEASON 11 | AXIE INFINITY ORIGINS,123,3,0,AxieMeta,0
3tilpsG0Zbw,2025-01-03T14:20:27Z,TINY FAN-CONTROL vs SANDAL-NIMO | SEASON 11 | AXIE INFINITY ORIGINS,227,4,1,AxieMeta,0
u0CGRiSqre4,2025-01-04T19:00:35Z,POISON-GILA vs HEALING-ZOO | SEASON 11 | AXIE INFINITY ORIGINS,106,4,1,AxieMeta,0
6IsGTAi85qE,2025-01-05T16:06:56Z,AXIE INFINITY,0,0,0,POTATOTV,0
n_WTkF70eOA,2025-01-02T20:00:16Z,JINX-SWIRL vs SANDAL-NIMO | SEASON 11 | AXIE INFINITY ORIGINS,146,4,0,AxieMeta,0
8wqGZeSL9AA,2025-01-04T12:52:21Z,AXIE Infinity Homeland 🏠 Gana entre 9-120$ sin inversión #axie #axs #juegonft #nft #axieinfinity,67,2,1,CriptoGary,0
8y7e5xaGhVc,2025-01-02T09:58:50Z,axie infinity play,1,0,0,Games play ,0
QQgGD0an0io,2025-01-04T23:00:15Z,RAGE-IMP vs BUBBLE-SPONGE | SEASON 11 | AXIE INFINITY ORIGINS,91,2,2,AxieMeta,0
bxh6xqxS1os,2025-01-04T21:00:30Z,FEATHER FAN vs OWL-SUPPORT | SEASON 11 | AXIE INFINITY ORIGINS,162,5,2,AxieMeta,0
YCBokCKSce0,2025-01-02T11:00:39Z,axie infinity - reptile x mech,211,19,0,Rskyfsh,0
KWXquga3KFY,2025-01-04T00:00:13Z,FEAR-RICE vs FEATHER-AOE | SEASON 11 | AXIE INFINITY ORIGINS,159,3,1,AxieMeta,0
3mahx9in-TU,2025-01-05T17:00:04Z,HEALING-COCOON vs TINY FAN | SEASON 11 | AXIE INFINITY ORIGINS,0,0,0,AxieMeta,0
QWY6FAyORWQ,2024-12-31T21:32:11Z,POISON vs RAGE | SEASON 11 | AXIE INFINITY ORIGINS,32,1,0,AXIE INFINITY BATTLE,0
5MJ9it4cc1U,2025-01-03T10:48:55Z,Axie Infinity S7: King Rep with 3 energy VS 2 full HP lunge,16,1,0,Patatas at Potato,0
a0IsWBsGZpc,2024-12-30T23:54:36Z,Axie Infinity Origins - Ranked Dragon I Death Mark comp vs Neo comp 2024 12 29 17 26 10,0,0,0,Unlock Adroit Greatness,0
c0-fQEIphfg,2025-01-02T18:00:24Z,HEALING-ZOO vs FEAR-RICE | SEASON 11 | AXIE INFINITY ORIGINS,281,2,0,AxieMeta,0
Cc0UY6yR_ds,2024-12-31T07:10:00Z,POISON vs JINX | SEASON 11 | AXIE INFINITY ORIGINS,16,2,2,AXIE INFINITY BATTLE,0
rmRSuzqhNaw,2025-01-05T11:01:03Z,axie infinity - dusk x beast,36,1,0,Rskyfsh,0
RWC1Au9wHwE,2024-12-30T23:41:42Z,Axie Infinity Origins - Ranked Dragon II Death Mark comp vs Wing Horn comp 2024 12 29 17 07 13,1,0,0,Unlock Adroit Greatness,0
HTPh5nm_oVw,2025-01-02T20:13:21Z,"Axie Infinity... en Extreaming, hasta challenger en la era FInal",148,8,1,YorkieCoin y Finanzas,0
SlzS0NR6FJQ,2024-12-30T23:51:41Z,Axie Infinity Origins - Ranked Dragon I Death Mark comp vs Nut Cracker comp 2024 12 29 17 16 44,4,0,0,Unlock Adroit Greatness,0
tuRR6aUIAeM,2025-01-01T22:00:26Z,BUBBLE-SPONGE vs SANDAL-NIMO | SEASON 11 | AXIE INFINITY ORIGINS,185,7,0,AxieMeta,0
dxe7UU-Zl0k,2025-01-05T14:34:11Z,axie infinity classic floor price bird vs meta discarder team.,3,1,0,Mau Gaming,0
vyIs9N1E_wc,2024-12-29T20:24:15Z,Axie Infinity Origins - Dragon II death mark vs nimo comp 2024 12 29 15 06 58,7,0,0,Unlock Adroit Greatness,0
3iSeKa5awAI,2025-01-02T08:55:01Z,Axie Infinity (Origins),2,0,0,Gian Claveria,0
