Video ID,Published Date,Title,View Count,Like Count,Comment Count,Channel Title,Subscriber Count
kU0q7090CWE,2025-01-01T16:57:23Z,Dev Update - Sparkball 2024 Recap and why 2025 is the Year of the Spark!,42,8,3,Sparkball,0
e6LCy1tFsRA,2025-01-01T19:00:21Z,Sparkball Crypto Game Trailer | 1000X Potential | Best Crypto Games,1,0,0,Best Crypto Games,0
rd-KE5Mgma4,2025-01-05T16:12:43Z,Lizard Labs - Sparkball Gamenite in the Lizcord,17,0,0,Lizard Labs (Ethlizards),0
dscfGSGFxDE,2025-01-03T07:18:33Z,Lizard Labs - Sparkball Gamenite in the Lizcord,40,4,0,Lizard Labs (Ethlizards),0
