Game,Retweet Count,Likes Count,Tweet,SoV_Tweet,SoV_Likes,SoV_RTs
@PixelHeroesMMO,,,115809,,,
@RagmonNFT,,,102889,,,
@Moonveil_Studio,,,48823,,,
@kurorobeast,,,34033,,,
@fableborne,,,16180,,,
@LumiterraGame,,,12303,,,
@pixels_online,,,11323,,,
@Moku_HQ,,,6320,,,
@AxieInfinity,,,5467,,,
@playoffthegrid,,,5071,,,
