Game,Retweet Count,Likes Count,Tweet,SoV_Tweet,SoV_Likes,SoV_RTs
@0xPolygon,,,23897,,,
@flow_blockchain,,,2154,,,
@GamingOnAvax,,,6631,,,
@GoGalaGames,,,9043,,,
@Immutable,,,11633,,,
@oneuniverseCA,,,5,,,
@Ronin_Network,,,27573,,,
@WAX_io,,,3690,,,
